country,bag_num,bag_weight,harvest_year,grading_date,processing_method,aroma,flavor,aftertaste,acidity,body,balance,uniformity,clean_cup,sweetness,moisture,cat_1_defects,quakers,color,cat_2_defects,expiration,altitude,species,total_quality
Japan,10,1,2025,2025-09-26,Natural/Dry,7.83,8.0,8.08,7.92,7.83,8.0,10.0,10.0,10.0,0.102,0,0,Green,0,2026-09-26,89.0,Arabica,7.9433333333333325
Colombia,3,35,2024,2024-11-20,Natural/Dry,7.58,8.42,7.92,7.92,8.08,7.75,10.0,10.0,10.0,0.104,0,0,Orange,3,2025-11-20,1600.0,Arabica,7.945
Taiwan,1,2,2025,2025-09-26,Natural/Dry,8.0,8.0,7.92,8.0,7.92,8.0,10.0,10.0,10.0,0.105,0,0,Yellow-Green,0,2026-09-26,1300.0,Arabica,7.973333333333334
Vietnam,12000,1,2025,2025-07-10,Washed/Wet,8.0,8.0,7.92,8.0,7.92,7.92,10.0,10.0,10.0,0.11,0,0,Green,0,2026-07-10,1500.0,Arabica,7.960000000000001
Kenya,64,60,2021,2025-04-01,Washed/Wet,8.0,8.0,7.92,7.92,8.0,7.92,10.0,10.0,10.0,0.118,0,0,Green,2,2026-04-01,1560.0,Arabica,7.960000000000001
Thailand,1,8,2025,2025-10-02,Natural/Dry,8.0,7.92,7.92,8.0,7.83,8.0,10.0,10.0,10.0,0.106,0,0,Yellow-Green,2,2026-10-02,1200.0,Arabica,7.945
Taiwan,1,8,2024,2024-10-29,Natural/Dry,7.92,8.08,8.08,7.92,7.92,7.92,10.0,10.0,10.0,0.104,0,0,Blue-Green,1,2025-10-29,1200.0,Arabica,7.973333333333334
Taiwan,1,8,2024,2024-10-29,Natural/Dry,8.08,8.08,7.92,7.83,7.83,7.92,10.0,10.0,10.0,0.1,0,0,Green,0,2025-10-29,1200.0,Arabica,7.9433333333333325
Taiwan,1,5,2025,2025-07-15,Natural/Dry,7.92,8.0,8.0,7.92,7.83,7.92,10.0,10.0,10.0,0.091,0,0,Yellow-Green,0,2026-07-15,725.0,Arabica,7.9316666666666675
Ethiopia,830,60,2025,2025-07-07,Natural/Dry,8.08,8.08,8.08,7.92,7.67,7.92,10.0,10.0,10.0,0.091,0,0,Brown,4,2026-07-07,2200.0,Arabica,7.958333333333335
Taiwan,1,2,2025,2025-09-26,Natural/Dry,8.25,8.08,7.92,8.0,7.75,7.83,10.0,10.0,10.0,0.102,0,0,Green,0,2026-09-26,1200.0,Arabica,7.971666666666667
Thailand,1,8,2021,2025-08-26,Washed/Wet,8.0,7.75,7.92,8.0,7.92,7.92,10.0,10.0,10.0,0.107,0,0,Green,1,2026-08-26,1350.0,Arabica,7.918333333333334
Thailand,1,30,2025,2025-08-26,Honey,8.0,7.92,8.0,7.92,7.92,8.0,10.0,10.0,10.0,0.112,0,0,Yellow-Green,0,2026-08-26,1430.0,Arabica,7.960000000000001
Taiwan,1,8,2024,2024-10-29,Natural/Dry,8.0,8.0,7.92,8.0,7.83,7.83,10.0,10.0,10.0,0.101,0,0,Yellow,0,2025-10-29,1020.0,Arabica,7.93
Taiwan,1,2,2025,2025-09-18,Honey,8.08,8.08,7.92,7.92,7.83,7.83,10.0,10.0,10.0,0.11,0,0,Blue-Green,0,2026-09-18,1200.0,Arabica,7.9433333333333325
Taiwan,1,6,2025,2025-09-12,Honey,7.92,8.0,7.92,8.0,7.83,7.92,10.0,10.0,10.0,0.117,0,0,Green,0,2026-09-12,150.0,Arabica,7.9316666666666675
Panama,3,35,2023,2024-11-20,Cherry,8.0,8.08,7.83,8.08,7.75,7.58,10.0,10.0,10.0,0.116,0,0,Yellow,3,2025-11-20,1300.0,Arabica,7.886666666666666
Thailand,1,8,2025,2025-10-02,Natural/Dry,8.08,8.17,7.92,7.92,7.83,7.58,10.0,10.0,10.0,0.101,0,0,Brown,0,2026-10-02,1500.0,Arabica,7.916666666666667
Taiwan,1,8,2024,2024-10-29,Washed/Wet,8.33,8.0,7.83,7.75,7.67,7.83,10.0,10.0,10.0,0.102,0,0,Yellow-Green,0,2025-10-29,1250.0,Arabica,7.901666666666666
Ethiopia,302,60,2025,2025-07-07,Natural/Dry,7.92,8.0,7.92,7.75,7.92,8.0,10.0,10.0,10.0,0.091,0,0,Brown,4,2026-07-07,2200.0,Arabica,7.918333333333333
Taiwan,1,8,2023,2024-10-29,Honey,7.75,8.0,7.92,8.0,7.83,7.83,10.0,10.0,10.0,0.104,0,0,Green,0,2025-10-29,1000.0,Arabica,7.888333333333333
Taiwan,1,5,2025,2025-07-15,Honey,8.08,8.0,7.92,7.83,7.83,7.83,10.0,10.0,10.0,0.097,0,0,Green,0,2026-07-15,700.0,Arabica,7.914999999999999
Taiwan,1,5,2025,2025-07-15,Natural/Dry,7.92,8.0,7.75,8.0,7.92,7.92,10.0,10.0,10.0,0.095,0,0,Yellow-Green,0,2026-07-15,725.0,Arabica,7.918333333333334
Thailand,2,1000,2024,2024-10-29,Washed/Wet,8.42,7.92,7.83,7.92,7.75,7.75,10.0,10.0,10.0,0.103,0,0,,0,2025-10-29,1400.0,Arabica,7.9316666666666675
Taiwan,1,5,2025,2025-07-15,Natural/Dry,7.92,8.08,7.92,7.92,7.92,7.83,10.0,10.0,10.0,0.092,0,0,Green,0,2026-07-15,680.0,Arabica,7.9316666666666675
Taiwan,1,5,2025,2025-07-15,Natural/Dry,8.0,8.17,7.92,7.83,7.67,7.83,10.0,10.0,10.0,0.093,0,1,Yellow,0,2026-07-15,725.0,Arabica,7.903333333333333
Costa Rica,1,1,2025,2025-02-20,Washed/Wet,7.92,7.92,7.83,7.92,8.0,7.92,10.0,10.0,10.0,0.115,0,2,Blue-Green,1,2026-02-20,1150.0,Arabica,7.918333333333334
Taiwan,1,10,2025,2025-03-19,Natural/Dry,8.17,8.08,7.75,7.75,7.75,7.83,10.0,10.0,10.0,0.095,3,0,Green,1,2026-03-19,500.0,Arabica,7.888333333333333
Vietnam,5000,1,2025,2025-07-09,Honey,7.92,7.92,7.92,7.92,7.83,7.92,10.0,10.0,10.0,0.11,0,0,Green,0,2026-07-09,1400.0,Arabica,7.905
Vietnam,300,1,2025,2025-07-09,Natural/Dry,8.17,7.83,7.75,7.92,7.83,7.83,10.0,10.0,10.0,0.11,0,0,Green,0,2026-07-09,1600.0,Arabica,7.888333333333333
Taiwan,1,2,2025,2025-09-26,Washed/Wet,8.0,8.0,7.92,7.92,7.75,7.83,10.0,10.0,10.0,0.094,0,0,Green,0,2026-09-26,1200.0,Arabica,7.903333333333333
Kenya,132,60,2025,2025-03-18,Washed/Wet,8.08,7.92,7.67,7.83,8.0,7.92,10.0,10.0,10.0,0.109,0,0,Green,5,2026-03-18,1950.0,Arabica,7.903333333333333
